,V1
1,44.3813114396254
2,19.5879283914091
3,7.8014270427511
4,6.26816283564108
5,5.17620275968486
6,3.98373321449062
7,1.91812731896039
8,1.617479449017
9,1.47601531863693
10,1.42069130324073
11,1.14334545500195
12,0.982297041292036
13,0.773123763758872
14,0.713050158894352
15,0.668427759942197
16,0.451515265257144
17,0.380037446412613
18,0.374956773032583
19,0.337610774722516
20,0.242309725833143
21,0.152561023626695
22,0.0462932416387577
23,0.0257641501737053
24,0.0158883154735165
25,0.0101202123451649
26,0.00755923001680109
27,0.00644242709658629
28,0.00555602846568502
29,0.00491103296388274
30,0.00447385290939196
31,0.00382035397367451
32,0.00338128135947194
33,0.00313849060722221
34,0.00261005722564546
35,0.00233104498342432
36,0.0021717608981584
37,0.00188456184164976
38,0.00175352844114952
39,0.00158616496928781
40,3.38555145919786e-09
41,6.80965831916728e-28
42,3.50965122423601e-28
